Hvordan formerer bakterier seg?; Binær fisjon (todeling)
Vanligste virus for virusindusert fosterskade?; CMV/cytomegalovirus
Blueberry muffin-utslett hos nyfødt; CMV/cytomegalovirus
Latent og kan bli til helvetesild?; varicella zoster virus/VZV
Ikke zoonose, og pakkes i cellekjernen i keratinocytter; HPV/humant papillomavirus
Hvilke HPV-typer kan gi kreft?; HPV-16/HPV-18/16 og 18/16/18
Chlamydia-arten som er vanligst ved genital infeksjon; c. trachomatis/chlamydia trachomatis
Hvilket organ angriper hepatittfamilien?; hepar/lever
Hepatittvirus som smitter fekalt-oralt?; HAV/HEV/hepatitt A/hepatitt E
Hepatittvirus som kan gi kronisk infeksjon?; HBV og HCV/B og C (HDV også men bare sammen med HBV)
Hepatittvirus som er avhengig av et annet hepatittvirus; HDV/Hepatitt D
Hjernebetennelse?; encefalitt
Hvilket virus må man tenke på først ved viral meningitt eller encefalitt?; HSV/herpes simplex virus (Fordi det kan behandles - enterovirus er vanligst ved viral meningitt)
Encefalitt fra flått?; TBE/tick-borne encephalitis/skogflåttencefalitt
Smertefullt, følger et dermatom og gir utslett; herpes zoster/VZV/helvetesild
Virus der mennesket er eneste reservoar?; Enterovirus
Mononukleose skyldes hvilket virus?; Epstein-Barr virus/EBV
Infiserer epitelceller, endotelceller og fibroblaster?; CMV/cytomegalovirus
Virus som gir diaré?; adenovirus/norovirus/rotavirus
Virus som gravide kvinner testes rutinemessig for; Rubella/røde hunder
